Date,SPY,QQQ,TLT,GLD,VTI,IEF
2004-11-18 00:00:00-05:00,80.1690673828125,33.19827651977539,44.50188446044922,44.380001068115234,39.199405670166016,48.474266052246094
2004-11-19 00:00:00-05:00,79.27783966064453,32.682857513427734,44.146732330322266,44.779998779296875,38.72364044189453,48.20871353149414
2004-11-22 00:00:00-05:00,79.65594482421875,32.995487213134766,44.37678146362305,44.95000076293945,38.97850799560547,48.24259567260742
2004-11-23 00:00:00-05:00,79.77745819091797,32.94480514526367,44.43183135986328,44.75,38.99211120605469,48.197410583496094
2004-11-24 00:00:00-05:00,79.96652221679688,33.232086181640625,44.43183135986328,45.04999923706055,39.21638870239258,48.26518249511719
2004-11-26 00:00:00-05:00,79.90575408935547,33.130680084228516,44.1417350769043,45.290000915527344,39.21638870239258,48.089969635009766
2004-11-29 00:00:00-05:00,79.54117584228516,33.122230529785156,43.67154312133789,45.400001525878906,39.131439208984375,47.801753997802734
2004-11-30 00:00:00-05:00,79.59515380859375,33.05464553833008,43.48646926879883,45.119998931884766,39.04648208618164,47.75658416748047
2004-12-01 00:00:00-05:00,80.4999008178711,33.730594635009766,43.41865921020508,45.380001068115234,39.552818298339844,47.74064636230469
2004-12-02 00:00:00-05:00,80.56737518310547,33.85733413696289,43.24287796020508,44.95000076293945,39.53242874145508,47.632972717285156
2004-12-03 00:00:00-05:00,80.51337432861328,33.908042907714844,43.91587829589844,45.599998474121094,39.53923034667969,48.10920333862305
2004-12-06 00:00:00-05:00,80.4863510131836,34.026329040527344,44.06654739379883,45.16999816894531,39.51543045043945,48.199886322021484
2004-12-07 00:00:00-05:00,79.73693084716797,33.44331741333008,44.12180709838867,45.11000061035156,39.128028869628906,48.1942024230957
2004-12-08 00:00:00-05:00,80.20281982421875,33.63766098022461,44.80989456176758,44.0099983215332,39.28437423706055,48.551368713378906
2004-12-09 00:00:00-05:00,80.4863510131836,33.84041976928711,44.51356506347656,43.779998779296875,39.46785354614258,48.438011169433594
2004-12-10 00:00:00-05:00,80.56737518310547,33.739051818847656,44.6240234375,43.439998626708984,39.420284271240234,48.51167678833008
2004-12-13 00:00:00-05:00,81.2695541381836,34.03478240966797,44.71947479248047,43.90999984741211,39.79410934448242,48.54571533203125
2004-12-14 00:00:00-05:00,81.55311584472656,34.20377731323242,44.8952522277832,43.54999923706055,39.9708251953125,48.63071823120117
2004-12-15 00:00:00-05:00,81.6138916015625,34.07701873779297,45.302032470703125,43.9900016784668,40.09993362426758,48.80648422241211
2004-12-16 00:00:00-05:00,81.56664276123047,33.75596237182617,44.63410949707031,43.68000030517578,40.031978607177734,48.432342529296875
2004-12-17 00:00:00-05:00,81.02262115478516,33.669803619384766,44.57382583618164,44.189998626708984,39.82808303833008,48.36997604370117
2004-12-20 00:00:00-05:00,81.0429458618164,33.439476013183594,44.6541748046875,44.34000015258789,39.756717681884766,48.42662048339844
2004-12-21 00:00:00-05:00,81.6670150756836,33.848915100097656,44.789772033691406,44.220001220703125,40.12713623046875,48.49467849731445
2004-12-22 00:00:00-05:00,81.86376190185547,33.891578674316406,44.63910675048828,44.02000045776367,40.27666091918945,48.44364929199219
